episode,timestep,reward
75800,3790000,-211.2005
76000,3800000,-211.2005
76200,3810000,-211.1921
76400,3820000,-211.1899
76600,3830000,-211.2012
76800,3840000,-211.2069
77000,3850000,-211.2011
77200,3860000,-211.1962
77400,3870000,-211.2047
77600,3880000,-211.2129
77800,3890000,-211.2179
78000,3900000,-211.2098
78200,3910000,-211.2134
78400,3920000,-211.2278
78600,3930000,-211.2225
78800,3940000,-211.2394
79000,3950000,-211.2292
79200,3960000,-211.2299
79400,3970000,-211.2417
79600,3980000,-211.2585
79800,3990000,-211.2542
80000,4000000,-211.2505
80200,4010000,-211.2557
80400,4020000,-211.2592
80600,4030000,-211.2587
80800,4040000,-211.2695
81000,4050000,-211.2753
81200,4060000,-211.2835
81400,4070000,-211.2906
81600,4080000,-211.2867
81800,4090000,-211.2813
82000,4100000,-211.2902
82200,4110000,-211.2746
82400,4120000,-211.2832
82600,4130000,-211.2771
82800,4140000,-211.2742
83000,4150000,-211.2791
83200,4160000,-211.2849
83400,4170000,-211.2811
83600,4180000,-211.272
83800,4190000,-211.267
84000,4200000,-211.2569
84200,4210000,-211.2491
84400,4220000,-211.2515
84600,4230000,-211.2397
84800,4240000,-211.2439
85000,4250000,-211.2456
85200,4260000,-211.2525
85400,4270000,-211.2507
85600,4280000,-211.2574
85800,4290000,-211.2503
86000,4300000,-211.2488
86200,4310000,-211.2426
86400,4320000,-211.2513
86600,4330000,-211.2479
86800,4340000,-211.2632
87000,4350000,-211.262
87200,4360000,-211.2768
87400,4370000,-211.2736
87600,4380000,-211.2873
87800,4390000,-211.2797
88000,4400000,-211.2745
88200,4410000,-211.2693
88400,4420000,-211.2826
88600,4430000,-211.2802
88800,4440000,-211.2876
89000,4450000,-211.2871
89200,4460000,-211.2938
89400,4470000,-211.2919
89600,4480000,-211.28
89800,4490000,-211.2877
90000,4500000,-211.283
90200,4510000,-211.2777
90400,4520000,-211.2811
90600,4530000,-211.2685
90800,4540000,-211.2672
91000,4550000,-211.274
91200,4560000,-211.2781
91400,4570000,-211.275
91600,4580000,-211.2765
91800,4590000,-211.2703
92000,4600000,-211.2669
92200,4610000,-211.2688
92400,4620000,-211.2658
92600,4630000,-211.2666
92800,4640000,-211.241
93000,4650000,-211.2489
93200,4660000,-211.2476
93400,4670000,-211.2408
93600,4680000,-211.2466
93800,4690000,-211.2551
94000,4700000,-211.2672
94200,4710000,-211.2659
94400,4720000,-211.2727
94600,4730000,-211.2834
94800,4740000,-211.2924
95000,4750000,-211.2982
95200,4760000,-211.3077
95400,4770000,-211.3102
95600,4780000,-211.3169
95800,4790000,-211.3054
96000,4800000,-211.3145
96200,4810000,-211.3174
96400,4820000,-211.328
96600,4830000,-211.323
96800,4840000,-211.3281
97000,4850000,-211.3219
97200,4860000,-211.3246
97400,4870000,-211.3289
97600,4880000,-211.3148
97800,4890000,-211.3054
98000,4900000,-211.3123
98200,4910000,-211.3088
98400,4920000,-211.3155
98600,4930000,-211.3164
98800,4940000,-211.3164
99000,4950000,-211.3043
99200,4960000,-211.3013
99400,4970000,-211.2942
99600,4980000,-211.2868
99800,4990000,-211.2913
100000,5000000,-211.2993
100200,5010000,-211.302
100400,5020000,-211.3114
100600,5030000,-211.3075
100800,5040000,-211.3142
101000,5050000,-211.3147
101200,5060000,-211.3133
101400,5070000,-211.3056
101600,5080000,-211.322
101800,5090000,-211.3289
102000,5100000,-211.3412
102200,5110000,-211.3415
102400,5120000,-211.3551
102600,5130000,-211.3507
102800,5140000,-211.3613
103000,5150000,-211.3545
103200,5160000,-211.3538
103400,5170000,-211.3582
103600,5180000,-211.3643
103800,5190000,-211.3627
104000,5200000,-211.3731
104200,5210000,-211.3684
104400,5220000,-211.3733
104600,5230000,-211.3848
104800,5240000,-211.3899
105000,5250000,-211.393
105200,5260000,-211.3939
105400,5270000,-211.3899
105600,5280000,-211.3884
105800,5290000,-211.3959
106000,5300000,-211.4048
106200,5310000,-211.4035
106400,5320000,-211.4119
106600,5330000,-211.4115
106800,5340000,-211.4046
107000,5350000,-211.4081
107200,5360000,-211.4051
107400,5370000,-211.4039
107600,5380000,-211.4053
107800,5390000,-211.4093
108000,5400000,-211.4109
108200,5410000,-211.4115
108400,5420000,-211.4177
108600,5430000,-211.4173
108800,5440000,-211.4217
109000,5450000,-211.4272
109200,5460000,-211.4324
109400,5470000,-211.4399
109600,5480000,-211.4283
109800,5490000,-211.4264
110000,5500000,-211.4288
110200,5510000,-211.4299
110400,5520000,-211.434
110600,5530000,-211.4446
110800,5540000,-211.4357
111000,5550000,-211.4348
111200,5560000,-211.4296
111400,5570000,-211.4278
111600,5580000,-211.4337
111800,5590000,-211.4329
112000,5600000,-211.4387
112200,5610000,-211.4349
112400,5620000,-211.4527
112600,5630000,-211.4599
112800,5640000,-211.4533
113000,5650000,-211.4628
113200,5660000,-211.4541
113400,5670000,-211.4533
113600,5680000,-211.4559
113800,5690000,-211.4536
114000,5700000,-211.4555
114200,5710000,-211.4611
114400,5720000,-211.458
114600,5730000,-211.4521
114800,5740000,-211.4501
115000,5750000,-211.4425
115200,5760000,-211.4368
115400,5770000,-211.4457
115600,5780000,-211.4411
115800,5790000,-211.4431
116000,5800000,-211.4498
116200,5810000,-211.4482
116400,5820000,-211.4515
116600,5830000,-211.4619
116800,5840000,-211.464
117000,5850000,-211.47
117200,5860000,-211.4812
117400,5870000,-211.4886
117600,5880000,-211.4967
117800,5890000,-211.4862
118000,5900000,-211.4815
118200,5910000,-211.4839
118400,5920000,-211.4784
118600,5930000,-211.4856
118800,5940000,-211.4934
119000,5950000,-211.4951
119200,5960000,-211.5064
119400,5970000,-211.5097
119600,5980000,-211.5076
119800,5990000,-211.504
120000,6000000,-211.5058
120200,6010000,-211.5136
120400,6020000,-211.5087
120600,6030000,-211.5049
120800,6040000,-211.5019
121000,6050000,-211.5103
121200,6060000,-211.5099
121400,6070000,-211.5072
121600,6080000,-211.5194
121800,6090000,-211.5166
122000,6100000,-211.5209
122200,6110000,-211.5262
122400,6120000,-211.5241
122600,6130000,-211.5227
122800,6140000,-211.5254
123000,6150000,-211.5288
123200,6160000,-211.5235
123400,6170000,-211.5281
123600,6180000,-211.5332
123800,6190000,-211.535
124000,6200000,-211.5353
124200,6210000,-211.5356
124400,6220000,-211.5424
124600,6230000,-211.5494
124800,6240000,-211.5542
125000,6250000,-211.5508
125200,6260000,-211.5564
125400,6270000,-211.5606
125600,6280000,-211.5633
125800,6290000,-211.5676
126000,6300000,-211.5736
126200,6310000,-211.5772
126400,6320000,-211.5749
126600,6330000,-211.5811
126800,6340000,-211.5803
127000,6350000,-211.5897
127200,6360000,-211.5877
127400,6370000,-211.5938
127600,6380000,-211.6039
127800,6390000,-211.6034
128000,6400000,-211.6052
128200,6410000,-211.6004
128400,6420000,-211.6024
128600,6430000,-211.6017
128800,6440000,-211.5985
129000,6450000,-211.6069
129200,6460000,-211.6023
129400,6470000,-211.6023
129600,6480000,-211.6135
129800,6490000,-211.6093
130000,6500000,-211.6093
130200,6510000,-211.6124
130400,6520000,-211.6113
130600,6530000,-211.6088
130800,6540000,-211.6072
131000,6550000,-211.6143
131200,6560000,-211.6231
131400,6570000,-211.62
131600,6580000,-211.6196
131800,6590000,-211.6295
132000,6600000,-211.6344
132200,6610000,-211.633
132400,6620000,-211.6391
132600,6630000,-211.6375
132800,6640000,-211.6485
133000,6650000,-211.6532
133200,6660000,-211.6594
133400,6670000,-211.6652
133600,6680000,-211.6627
133800,6690000,-211.663
134000,6700000,-211.6736
134200,6710000,-211.6709
134400,6720000,-211.6799
134600,6730000,-211.6872
134800,6740000,-211.6969
135000,6750000,-211.7013
135200,6760000,-211.7074
135400,6770000,-211.713
135600,6780000,-211.7169
135800,6790000,-211.7174
136000,6800000,-211.7152
136200,6810000,-211.7216
136400,6820000,-211.7247
136600,6830000,-211.7299
136800,6840000,-211.7307
137000,6850000,-211.7303
137200,6860000,-211.7431
137400,6870000,-211.7414
137600,6880000,-211.7463
137800,6890000,-211.7525
138000,6900000,-211.7457
138200,6910000,-211.7454
138400,6920000,-211.7448
138600,6930000,-211.7462
138800,6940000,-211.7525
139000,6950000,-211.7547
139200,6960000,-211.7584
139400,6970000,-211.7532
139600,6980000,-211.754
139800,6990000,-211.7573
140000,7000000,-211.7628
140200,7010000,-211.7675
140400,7020000,-211.7713
140600,7030000,-211.7747
140800,7040000,-211.7749
141000,7050000,-211.7707
141200,7060000,-211.7821
141400,7070000,-211.7821
141600,7080000,-211.7892
141800,7090000,-211.7954
142000,7100000,-211.79
142200,7110000,-211.7956
142400,7120000,-211.7872
142600,7130000,-211.7916
142800,7140000,-211.7961
143000,7150000,-211.7936
143200,7160000,-211.785
143400,7170000,-211.7843
143600,7180000,-211.7876
143800,7190000,-211.7936
144000,7200000,-211.7962
144200,7210000,-211.8017
144400,7220000,-211.8024
144600,7230000,-211.8026
144800,7240000,-211.8063
145000,7250000,-211.8099
145200,7260000,-211.8133
145400,7270000,-211.8105
145600,7280000,-211.822
145800,7290000,-211.8307
146000,7300000,-211.8337
146200,7310000,-211.8401
146400,7320000,-211.8347
146600,7330000,-211.8366
146800,7340000,-211.837
147000,7350000,-211.8435
147200,7360000,-211.8368
147400,7370000,-211.8427
147600,7380000,-211.8462
147800,7390000,-211.8491
148000,7400000,-211.8433
148200,7410000,-211.8362
148400,7420000,-211.8359
148600,7430000,-211.8404
148800,7440000,-211.8456
149000,7450000,-211.8496
149200,7460000,-211.8507
149400,7470000,-211.8596
149600,7480000,-211.8684
149800,7490000,-211.8758
150000,7500000,-211.8757
150200,7510000,-211.8775
150400,7520000,-211.8844
150600,7530000,-211.8931
150800,7540000,-211.8864
