episode,timestep,reward
1183,59200,-249.9999
1185,59300,-249.8848
1187,59400,-231.0039
1189,59500,-249.9998
1191,59600,-243.5253
1193,59700,-249.9985
1195,59800,-234.4874
1197,59900,-242.7508
1199,60000,-249.9998
1201,60100,-249.9693
1203,60200,-233.9414
1205,60300,-249.8831
1207,60400,-250.0
1209,60500,-241.2898
1211,60600,-239.2672
1213,60700,-235.6339
1215,60800,-237.1666
1217,60900,-232.5442
1219,61000,-249.9998
1221,61100,-236.0201
1223,61200,-241.7807
1225,61300,-249.9985
1227,61400,-249.9994
1229,61500,-230.8982
1231,61600,-249.9994
1233,61700,-237.7406
1235,61800,-237.993
1237,61900,-244.4081
1239,62000,-242.9972
1241,62100,-237.142
1243,62200,-249.9917
1245,62300,-249.9994
1247,62400,-242.9594
1249,62500,-237.5569
1251,62600,-226.4721
1253,62700,-249.9998
1255,62800,-238.6983
1257,62900,-242.3737
1259,63000,-250.0
1261,63100,-249.9985
1263,63200,-249.9629
1265,63300,-249.9663
1267,63400,-243.8287
1269,63500,-238.3948
1271,63600,-250.0
1273,63700,-249.9985
1275,63800,-249.9999
1277,63900,-244.8248
1279,64000,-249.9998
1281,64100,-237.7938
1283,64200,-249.9994
1285,64300,-235.1384
1287,64400,-243.4493
1289,64500,-250.0
1291,64600,-240.6168
1293,64700,-250.0
1295,64800,-249.9362
1297,64900,-249.9994
1299,65000,-249.8395
1301,65100,-239.3651
1303,65200,-242.561
1305,65300,-249.247
1307,65400,-236.3724
1309,65500,-226.2947
1311,65600,-250.0
1313,65700,-241.3288
1315,65800,-240.5997
1317,65900,-242.4767
1319,66000,-242.6872
1321,66100,-234.3253
1323,66200,-249.9998
1325,66300,-249.988
1327,66400,-242.9461
1329,66500,-250.0
1331,66600,-249.9985
1333,66700,-242.1357
1335,66800,-239.3334
1337,66900,-242.7793
1339,67000,-250.0
1341,67100,-240.9053
1343,67200,-249.9884
1345,67300,-230.8375
1347,67400,-249.9998
1349,67500,-242.6628
1351,67600,-227.6075
1353,67700,-249.9998
1355,67800,-249.9985
1357,67900,-249.9958
1359,68000,-243.4223
1361,68100,-243.444
1363,68200,-249.9958
1365,68300,-237.1243
1367,68400,-249.9956
1369,68500,-237.4651
1371,68600,-242.0299
1373,68700,-249.9864
1375,68800,-249.9994
1377,68900,-236.0501
1379,69000,-240.5027
1381,69100,-243.5143
1383,69200,-249.9985
1385,69300,-249.9994
1387,69400,-249.969
1389,69500,-241.38
1391,69600,-225.0318
1393,69700,-249.9969
1395,69800,-249.9998
1397,69900,-250.0
1399,70000,-249.9959
1401,70100,-210.1029
1403,70200,-249.9693
1405,70300,-250.0
1407,70400,-241.87
1409,70500,-235.8939
1411,70600,-249.9994
1413,70700,-249.9983
1415,70800,-239.4791
1417,70900,-250.0
1419,71000,-230.7808
1421,71100,-250.0
1423,71200,-241.0106
1425,71300,-229.5892
1427,71400,-249.886
1429,71500,-232.981
1431,71600,-250.0
1433,71700,-250.0
1435,71800,-249.9958
1437,71900,-242.6142
1439,72000,-240.1217
1441,72100,-249.915
1443,72200,-229.603
1445,72300,-234.6847
1447,72400,-249.9997
1449,72500,-232.8157
1451,72600,-231.6233
1453,72700,-249.9885
1455,72800,-249.9999
1457,72900,-236.7606
1459,73000,-249.9693
1461,73100,-250.0
1463,73200,-249.9999
1465,73300,-249.9999
1467,73400,-249.9997
1469,73500,-247.6255
1471,73600,-249.3802
1473,73700,-249.9692
1475,73800,-249.9882
1477,73900,-249.2772
1479,74000,-249.3838
1481,74100,-249.9969
1483,74200,-248.9792
1485,74300,-248.3153
1487,74400,-249.8851
1489,74500,-249.9956
1491,74600,-249.7734
1493,74700,-249.3724
1495,74800,-248.3237
1497,74900,-249.9958
1499,75000,-248.3102
1501,75100,-249.9952
1503,75200,-249.9979
1505,75300,-249.9999
1507,75400,-249.9145
1509,75500,-249.3391
1511,75600,-248.2346
1513,75700,-249.9994
1515,75800,-250.0
1517,75900,-250.0
1519,76000,-248.3109
1521,76100,-249.3806
1523,76200,-250.0
